"ID","COUNTRY","AFRADMIN2Code","AFRAdminname","AREATYPE","Lat","Long","MM","YY","LoAge","UpAge","Ex","Pf","PfPR2.10","METHOD","Time","Microscopy","Rainy","utm_x","utm_y","Prev"
44226,"Tanzania","TZA018","Iringa","Point",-8.291186,35.306461,9,2015,0.833333333333333,4.08333333333333,7,0,0,"RDT",177,0,1,753.97110485932,9082.47789393555,0
44227,"Tanzania","TZA018","Iringa","Point",-8.32239,35.54466,5,2015,5,16,120,0,0,"RDT",173,0,0,780.205303151062,9078.86413049738,0
44239,"Tanzania","TZA018","Iringa","Point",-9.12889,34.86671,5,2015,5,16,77,0,0,"RDT",173,0,0,705.051211618843,8990.06350412531,0
44240,"Tanzania","TZA018","Iringa","Point",-9.25794,35.3819,5,2015,5,16,44,1,2.39704671241872,"RDT",173,0,0,761.60714180803,8975.44926688853,0.0227272727272727
44242,"Tanzania","TZA018","Iringa","Point",-9.1958,34.75192,5,2015,5,16,64,0,0,"RDT",173,0,0,692.395034038556,8982.72529667793,0
44243,"Tanzania","TZA018","Iringa","Point",-9.24136,34.53874,5,2015,5,16,54,0,0,"RDT",173,0,0,668.942452765073,8977.79361344231,0
44247,"Tanzania","TZA018","Iringa","Point",-8.818858,35.080403,5,2015,5,16,72,0,0,"RDT",173,0,0,728.741373485694,9024.23623638714,0
44248,"Tanzania","TZA018","Iringa","Point",-8.834617,34.825555,5,2015,5,16,61,0,0,"RDT",173,0,0,700.688537037268,9022.63961821744,0
44249,"Tanzania","TZA018","Iringa","Point",-9.76165,34.91721,5,2015,5,16,115,0,0,"RDT",173,0,0,710.218820929394,8920.03234890248,0
44251,"Tanzania","TZA018","Iringa","Point",-9.370375,34.7949,9,2015,1.5,4.83333333333333,8,0,0,"RDT",177,0,1,697.021668077349,8963.39016565451,0
44252,"Tanzania","TZA018","Iringa","Point",-9.59105,34.889192,9,2015,0.583333333333333,3.91666666666667,9,0,0,"RDT",177,0,1,707.248638487538,8938.92303102791,0
44253,"Tanzania","TZA018","Iringa","Point",-9.489165,34.790623,9,2015,0.583333333333333,4.83333333333333,11,0,0,"RDT",177,0,1,696.484448998919,8950.25176575753,0
